id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
420000,湖北,2020-03-27 10:16:51,0,,531,5,,,67801,0,61732,3174,0
440000,广东,2020-03-27 08:54:11,12,,1,0,,,1456,0,1337,8,0
410000,河南,2020-03-27 08:28:30,0,,0,0,,,1275,0,1250,22,0
330000,浙江,2020-03-27 09:03:56,4,,0,0,,,1247,0,1222,1,0
430000,湖南,2020-03-27 08:43:59,0,,0,0,,,1018,0,1014,4,0
340000,安徽,2020-03-27 08:36:12,0,,0,0,,,990,0,984,6,0
360000,江西,2020-03-27 09:02:37,0,,0,0,,,936,0,934,1,0
370000,山东,2020-03-27 15:58:28,3,,0,0,,,772,0,752,7,0
320000,江苏,2020-03-27 08:46:29,1,,0,0,,,641,0,631,0,0
500000,重庆,2020-03-27 08:14:12,0,,0,0,,,578,0,570,6,0
110000,北京,2020-03-27 13:02:11,4,,5,0,,,569,0,408,8,0
510000,四川,2020-03-27 08:35:42,1,,0,0,,,548,0,536,3,0
810000,香港,2020-03-27 16:59:55,108,0.0,4,0,0.0,,518,0,110,4,0
230000,黑龙江,2020-03-27 08:02:12,0,,0,0,,,484,0,469,13,0
310000,上海,2020-03-27 11:26:32,17,,4,0,,,468,0,334,5,0
350000,福建,2020-03-27 08:29:37,3,,0,0,,,331,0,295,1,0
130000,河北,2020-03-27 07:47:20,0,,0,0,,,319,0,310,6,0
700000,台湾,2020-03-27 14:24:04,32,0.0,0,0,0.0,,267,0,29,2,0
450000,广西,2020-03-27 08:01:19,0,,0,0,,,254,0,250,2,0
610000,陕西,2020-03-27 09:06:34,1,,0,0,,,253,0,242,3,0
530000,云南,2020-03-27 01:43:28,2,,0,0,,,180,0,172,2,0
460000,海南,2020-03-27 08:45:20,0,,0,0,,,168,0,162,6,0
120000,天津,2020-03-27 08:55:47,8,,0,0,,,155,0,133,3,0
520000,贵州,2020-03-27 08:58:39,0,,0,0,,,146,0,144,2,0
620000,甘肃,2020-03-27 07:12:30,0,,2,0,,,136,0,123,2,0
140000,山西,2020-03-27 02:56:59,0,,0,0,,,135,0,133,0,0
210000,辽宁,2020-03-27 07:56:28,1,,0,0,,,128,0,124,2,0
220000,吉林,2020-03-27 07:53:53,0,,0,0,,,95,0,92,1,0
150000,内蒙古,2020-03-27 08:44:43,3,,0,0,,,92,0,74,1,0
650000,新疆,2020-03-27 09:10:04,0,,0,0,,,76,0,73,3,0
640000,宁夏,2020-03-27 09:11:44,0,,0,0,,,75,0,75,0,0
820000,澳门,2020-03-27 08:25:25,3,0.0,0,0,0.0,,33,0,10,0,0
630000,青海,2020-03-27 09:09:55,0,,0,0,,,18,0,18,0,0
540000,西藏,2020-03-27 10:00:02,0,,0,0,,,1,0,1,0,0
