date,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,name
2020-01-20,,270,0.0,25,6,,,270,0,25,6,0,湖北
2020-01-21,,105,,0,3,,,375,0,25,9,0,湖北
2020-01-22,,69,0.0,3,8,,,444,0,28,17,0,湖北
2020-01-23,,105,,0,7,,,549,710,28,24,0,湖北
2020-01-24,,180,,3,15,,,729,1405,31,39,0,湖北
2020-01-25,,323,,1,13,,,1052,1887,32,52,0,湖北
2020-01-26,,371,,10,24,,,1423,4472,42,76,0,湖北
2020-01-27,,1291,,2,24,,,2714,5324,44,100,0,湖北
2020-01-28,,840,,3,25,,,3554,6940,47,125,0,湖北
2020-01-29,,1032,,43,37,,,4586,9033,90,162,0,湖北
2020-01-30,,1220,,46,42,,,5806,11272,136,204,0,湖北
2020-01-31,,1347,,30,45,,,7153,13577,166,249,0,湖北
2020-02-01,,1921,,49,45,,,9074,14872,215,294,0,湖北
2020-02-02,,2103,,80,56,,,11177,16898,295,350,0,湖北
2020-02-03,,2345,,101,64,,,13522,18549,396,414,0,湖北
2020-02-04,,3156,,124,65,,,16678,18447,520,479,0,湖北
2020-02-05,,2987,0.0,113,70,,,19665,0,633,549,0,湖北
2020-02-06,,2447,0.0,184,69,,,22112,21261,817,618,0,湖北
2020-02-07,,2841,0.0,298,81,,,24953,0,1115,699,0,湖北
2020-02-08,,2147,0.0,324,81,0.0,,27100,28942,1439,780,0,湖北
2020-02-09,,2531,0.0,356,91,,,29631,0,1795,871,0,湖北
2020-02-10,,2097,0.0,427,103,,,31728,0,2222,974,0,湖北
2020-02-11,,1638,0.0,417,94,,,33366,0,2639,1068,0,湖北
2020-02-12,,13797,0.0,533,134,,,47163,0,3172,1202,0,湖北
2020-02-13,,4823,0.0,690,116,,,51986,0,3862,1318,0,湖北
2020-02-14,,2415,0.0,912,139,,,54401,0,4774,1457,0,湖北
2020-02-15,,1848,0.0,849,139,,,56249,0,5623,1596,0,湖北
2020-02-16,,1933,0.0,1016,100,,,58182,0,6639,1696,0,湖北
2020-02-17,,1807,0.0,1223,93,,,59989,0,7862,1789,0,湖北
2020-02-18,,1693,,1266,132,,,61682,0,9128,1921,0,湖北
2020-02-19,,775,,1209,108,,,62457,0,10337,2029,0,湖北
2020-02-20,,631,,1453,115,,,63088,0,11790,2144,0,湖北
2020-02-21,,366,,1767,106,,,63454,0,13557,2250,0,湖北
2020-02-22,,435,,1742,96,,,63889,0,15299,2346,0,湖北
2020-02-23,,398,,1439,149,,,64287,0,16738,2495,0,湖北
2020-02-24,,499,,2116,68,,,64786,0,18854,2563,0,湖北
2020-02-25,,401,,2058,52,,,65187,0,20912,2615,0,湖北
2020-02-26,,409,,2288,26,,,65596,0,23200,2641,0,湖北
2020-02-27,,318,,3203,41,,,65914,0,26403,2682,0,湖北
2020-02-28,,423,,2492,45,,,66337,0,28895,2727,0,湖北
2020-02-29,,570,,2292,34,,,66907,0,31187,2761,0,湖北
2020-03-01,,196,,2570,42,,,67103,0,33757,2803,0,湖北
2020-03-02,,114,,2410,31,,,67217,0,36167,2834,0,湖北
2020-03-03,,115,,2389,37,,,67332,0,38556,2871,0,湖北
2020-03-04,,134,,1923,31,,,67466,0,40479,2902,0,湖北
2020-03-05,,126,,1487,29,,,67592,0,41966,2931,0,湖北
2020-03-06,,74,,1502,28,,,67666,0,43468,2959,0,湖北
2020-03-07,,41,,1543,27,,,67707,0,45011,2986,0,湖北
2020-03-08,,36,,1422,21,,,67743,0,46433,3007,0,湖北
2020-03-09,,17,,1152,17,,,67760,0,47585,3024,0,湖北
2020-03-10,,13,,1471,22,,,67773,0,49056,3046,0,湖北
2020-03-11,,8,,1242,10,,,67781,0,50298,3056,0,湖北
2020-03-12,,5,,1255,6,,,67786,0,51553,3062,0,湖北
2020-03-13,,4,,1390,13,,,67790,0,52943,3075,0,湖北
2020-03-14,,4,,1335,10,,,67794,0,54278,3085,0,湖北
2020-03-15,,4,,816,14,,,67798,0,55094,3099,0,湖北
2020-03-16,,1,,893,12,,,67799,0,55987,3111,0,湖北
2020-03-17,,1,,896,11,,,67800,0,56883,3122,0,湖北
2020-03-18,,0,,795,8,,,67800,0,57678,3130,0,湖北
2020-03-19,,0,0.0,703,2,0.0,,67800,0,58381,3132,0,湖北
2020-03-20,,0,,561,7,,,67800,0,58942,3139,0,湖北
2020-03-21,,0,,490,5,,,67800,0,59432,3144,0,湖北
2020-03-22,,0,,447,9,,,67800,0,59879,3153,0,湖北
2020-03-23,,1,,444,7,,,67801,0,60323,3160,0,湖北
2020-03-24,,0,,487,3,,,67801,0,60810,3163,0,湖北
2020-03-25,,0,,391,6,,,67801,0,61201,3169,0,湖北
2020-03-26,,0,,530,5,,,67801,0,61731,3174,0,湖北
2020-03-27,,0,,1,0,,,67801,0,61732,3174,0,湖北
2020-01-23,,53,,0,0,,,53,17,0,0,0,广东
2020-01-24,,25,,2,0,,,78,18,2,0,0,广东
2020-01-25,,20,,0,0,,,98,40,2,0,0,广东
2020-01-26,,48,,0,0,,,146,54,2,0,0,广东
2020-01-27,,42,,0,0,,,188,73,2,0,0,广东
2020-01-28,,53,,3,0,,,241,122,5,0,0,广东
2020-01-29,,70,,3,0,,,311,137,8,0,0,广东
2020-01-30,,82,,3,0,,,393,151,11,0,0,广东
2020-01-31,,127,,0,0,,,520,126,11,0,0,广东
2020-02-01,,84,,1,0,,,604,157,12,0,0,广东
2020-02-02,,79,,3,0,,,683,205,15,0,0,广东
2020-02-03,,114,,5,0,,,797,180,20,0,0,广东
2020-02-04,,73,,12,0,,,870,136,32,0,0,广东
2020-02-05,,74,0.0,17,0,,,944,0,49,0,0,广东
2020-02-06,,74,71.0,19,1,,,1018,170,68,1,0,广东
2020-02-07,,57,0.0,29,0,,,1075,170,97,1,0,广东
2020-02-08,,45,,28,0,,,1120,0,125,1,0,广东
2020-02-09,,31,,18,0,,,1151,0,143,1,0,广东
2020-02-10,,26,0.0,38,0,,,1177,0,181,1,0,广东
2020-02-11,,42,,60,0,,,1219,0,241,1,0,广东
2020-02-12,,22,0.0,43,1,,,1241,0,284,2,0,广东
2020-02-13,,20,,48,0,,,1261,0,332,2,0,广东
2020-02-14,,33,,54,0,,,1294,0,386,2,0,广东
2020-02-15,,22,,50,0,,,1316,0,436,2,0,广东
2020-02-16,,6,,37,2,,,1322,0,473,4,0,广东
2020-02-17,,6,,57,0,,,1328,0,530,4,0,广东
2020-02-18,,3,,41,1,,,1331,0,571,5,0,广东
2020-02-19,,1,,48,0,,,1332,0,619,5,0,广东
2020-02-20,,1,,45,0,,,1333,0,664,5,0,广东
2020-02-21,,6,,56,0,,,1339,0,720,5,0,广东
2020-02-22,,3,,20,1,,,1342,0,740,6,0,广东
2020-02-23,,3,,32,0,,,1345,0,772,6,0,广东
2020-02-24,,2,0.0,33,1,,,1347,0,805,7,0,广东
2020-02-25,,0,,36,0,,,1347,0,841,7,0,广东
2020-02-26,,0,,32,0,,,1347,0,873,7,0,广东
2020-02-27,,1,,46,0,,,1348,0,919,7,0,广东
2020-02-28,,1,,53,0,,,1349,0,972,7,0,广东
2020-02-29,,0,,37,0,,,1349,0,1009,7,0,广东
2020-03-01,,1,,25,0,,,1350,0,1034,7,0,广东
2020-03-02,,0,0.0,47,0,,,1350,0,1081,7,0,广东
2020-03-03,,0,,48,0,,,1350,0,1129,7,0,广东
2020-03-04,,0,,30,0,,,1350,0,1159,7,0,广东
