Pv,date
18221,20200305
17558,20200306
16618,20200307
14690,20200308
19577,20200309
17157,20200310
16981,20200311
17910,20200312
17366,20200313
17695,20200314
14205,20200315
17067,20200316
18021,20200317
17377,20200318
17356,20200319
16516,20200320
17755,20200321
15365,20200322
20294,20200323
18134,20200324
20655,20200325
19712,20200326
19889,20200327
17987,20200328
16406,20200329
19632,20200330
18593,20200331
18672,20200401
0,20200402
3046,20160101
2722,20160102
2850,20160103
2188,20160104
2080,20160105
2289,20160106
2350,20160107
2068,20160108
2064,20160109
2590,20160110
2023,20160111
2104,20160112
1800,20160113
1895,20160114
1763,20160115
1913,20160116
1863,20160117
1802,20160118
2009,20160119
1689,20160120
1842,20160121
1883,20160122
1612,20160123
1623,20160124
1640,20160125
1909,20160126
1724,20160127
1942,20160128
1908,20160129
1648,20160130
1801,20160131
2212,20160201
1795,20160202
1770,20160203
2138,20160204
1946,20160205
1557,20160206
1272,20160207
1556,20160208
1381,20160209
1491,20160210
1839,20160211
1889,20160212
2126,20160213
2353,20160214
2246,20160215
2664,20160216
2571,20160217
2399,20160218
2452,20160219
2563,20160220
2818,20160221
2530,20160222
2682,20160223
2262,20160224
2386,20160225
2072,20160226
2156,20160227
2592,20160228
2494,20160229
2445,20160301
2150,20160302
2398,20160303
1888,20160304
2566,20160305
3477,20160306
2616,20160307
2395,20160308
2719,20160309
2588,20160310
2349,20160311
2490,20160312
3054,20160313
2392,20160314
2491,20160315
2829,20160316
2778,20160317
2988,20160318
2738,20160319
3165,20160320
2430,20160321
2421,20160322
2507,20160323
2639,20160324
2412,20160325
2898,20160326
3979,20160327
6569,20160328
6291,20160329
4809,20160330
4448,20160331
3737,20160401
3980,20160402
4374,20160403
5359,20160404
4078,20160405
3897,20160406
4185,20160407
3511,20160408
4116,20160409
4595,20160410
3819,20160411
3884,20160412
3863,20160413
4069,20160414
4047,20160415
4310,20160416
5093,20160417
3718,20160418
4070,20160419
3814,20160420
3765,20160421
3839,20160422
4146,20160423
5002,20160424
3954,20160425
3884,20160426
3885,20160427
3653,20160428
3115,20160429
2969,20160430
3318,20160501
4472,20160502
3542,20160503
3469,20160504
3355,20160505
3080,20160506
3376,20160507
3575,20160508
3257,20160509
3535,20160510
3462,20160511
3710,20160512
3872,20160513
3927,20160514
4284,20160515
3760,20160516
3897,20160517
4038,20160518
3947,20160519
3921,20160520
3791,20160521
4106,20160522
3943,20160523
4152,20160524
4046,20160525
5404,20160526
4567,20160527
4045,20160528
4038,20160529
3947,20160530
3827,20160531
4537,20160601
4334,20160602
3898,20160603
3672,20160604
4089,20160605
4386,20160606
4114,20160607
3984,20160608
3388,20160609
3325,20160610
3809,20160611
4134,20160612
4585,20160613
5035,20160614
5205,20160615
4960,20160616
4266,20160617
3614,20160618
3677,20160619
5159,20160620
5016,20160621
5055,20160622
4747,20160623
4672,20160624
3689,20160625
4009,20160626
4760,20160627
5045,20160628
5205,20160629
5033,20160630
14570,20160701
12784,20160702
10888,20160703
14386,20160704
13485,20160705
12833,20160706
13087,20160707
12594,20160708
8340,20160709
7987,20160710
12032,20160711
11539,20160712
12031,20160713
13044,20160714
12708,20160715
8773,20160716
8986,20160717
13986,20160718
13889,20160719
13347,20160720
13901,20160721
14341,20160722
10109,20160723
9204,20160724
14107,20160725
12875,20160726
13749,20160727
14040,20160728
12846,20160729
7635,20160730
8060,20160731
13327,20160801
12873,20160802
12747,20160803
14051,20160804
12323,20160805
8072,20160806
8296,20160807
11157,20160808
10265,20160809
11723,20160810
10981,20160811
10341,20160812
7245,20160813
8082,20160814
9892,20160815
9350,20160816
10063,20160817
10190,20160818
9171,20160819
6459,20160820
6766,20160821
9786,20160822
10317,20160823
9859,20160824
9827,20160825
9223,20160826
6899,20160827
7716,20160828
10598,20160829
10521,20160830
9992,20160831
10478,20160901
8709,20160902
7236,20160903
8393,20160904
9857,20160905
9681,20160906
9951,20160907
9743,20160908
9204,20160909
7689,20160910
9024,20160911
9807,20160912
9806,20160913
7738,20160914
5572,20160915
7303,20160916
8392,20160917
10748,20160918
10958,20160919
10454,20160920
11061,20160921
10779,20160922
9022,20160923
8476,20160924
9615,20160925
11211,20160926
11214,20160927
10850,20160928
9447,20160929
7361,20160930
5411,20161001
5430,20161002
6404,20161003
6479,20161004
7201,20161005
7805,20161006
10832,20161007
9333,20161008
9534,20161009
9963,20161010
11045,20161011
12179,20161012
13319,20161013
10883,20161014
10770,20161015
14630,20161016
13966,20161017
15013,20161018
15907,20161019
15452,20161020
12910,20161021
14177,20161022
19273,20161023
16262,20161024
15794,20161025
16094,20161026
17053,20161027
13720,20161028
12009,20161029
17223,20161030
15020,20161031
14748,20161101
13803,20161102
13397,20161103
11356,20161104
11899,20161105
16517,20161106
13716,20161107
14108,20161108
13278,20161109
12443,20161110
10921,20161111
10862,20161112
15541,20161113
12358,20161114
13681,20161115
12802,20161116
13533,20161117
10955,20161118
10652,20161119
13340,20161120
11929,20161121
12169,20161122
13063,20161123
13441,20161124
10572,20161125
10827,20161126
15064,20161127
13205,20161128
13018,20161129
12497,20161130
11636,20161201
10216,20161202
9782,20161203
13477,20161204
12715,20161205
12434,20161206
12093,20161207
12983,20161208
10228,20161209
9673,20161210
12701,20161211
13653,20161212
13673,20161213
13421,20161214
13280,20161215
10261,20161216
9416,20161217
13462,20161218
13049,20161219
12786,20161220
12138,20161221
11340,20161222
9402,20161223
9175,20161224
14843,20161225
12820,20161226
12686,20161227
11564,20161228
10371,20161229
9181,20161230
14006,20161231
16614,20170101
14167,20170102
11763,20170103
10416,20170104
9709,20170105
8245,20170106
8188,20170107
9695,20170108
8458,20170109
8187,20170110
8052,20170111
7750,20170112
7308,20170113
6553,20170114
6352,20170115
7358,20170116
6909,20170117
6763,20170118
6337,20170119
5826,20170120
5144,20170121
5069,20170122
5424,20170123
4996,20170124
4839,20170125
5280,20170126
7891,20170127
11604,20170128
7643,20170129
6915,20170130
7137,20170131
7068,20170201
7484,20170202
8634,20170203
8176,20170204
8318,20170205
8097,20170206
8007,20170207
8285,20170208
8518,20170209
8430,20170210
8775,20170211
8538,20170212
7598,20170213
7594,20170214
7082,20170215
7618,20170216
7504,20170217
8280,20170218
10503,20170219
8455,20170220
8668,20170221
8598,20170222
8810,20170223
7963,20170224
9730,20170225
11318,20170226
8840,20170227
9105,20170228
8412,20170301
8014,20170302
7548,20170303
8652,20170304
10629,20170305
8179,20170306
8482,20170307
7873,20170308
7891,20170309
7255,20170310
8056,20170311
10295,20170312
8692,20170313
8014,20170314
8634,20170315
8803,20170316
8009,20170317
8948,20170318
12317,20170319
10523,20170320
11174,20170321
11183,20170322
10486,20170323
9204,20170324
9834,20170325
11924,20170326
10239,20170327
10542,20170328
9547,20170329
9546,20170330
8673,20170331
7565,20170401
7954,20170402
10813,20170403
15469,20170404
10778,20170405
10335,20170406
9756,20170407
9658,20170408
11359,20170409
10486,20170410
10052,20170411
10346,20170412
10933,20170413
9561,20170414
11104,20170415
14529,20170416
11524,20170417
11249,20170418
11666,20170419
11099,20170420
9898,20170421
10279,20170422
13936,20170423
15470,20170424
12414,20170425
12369,20170426
14002,20170427
9874,20170428
9043,20170429
10345,20170430
17488,20170501
14924,20170502
14840,20170503
18160,20170504
14907,20170505
14749,20170506
19003,20170507
16647,20170508
17706,20170509
21659,20170510
20042,20170511
15504,20170512
13944,20170513
22650,20170514
18893,20170515
17119,20170516
17647,20170517
17125,20170518
14271,20170519
13717,20170520
19814,20170521
22166,20170522
22682,20170523
21657,20170524
20399,20170525
18447,20170526
15860,20170527
14382,20170528
14757,20170529
18272,20170530
16814,20170531
16550,20170601
15476,20170602
13540,20170603
18341,20170604
16570,20170605
18359,20170606
17126,20170607
17081,20170608
15136,20170609
13830,20170610
16356,20170611
17548,20170612
16571,20170613
16095,20170614
16949,20170615
15593,20170616
13473,20170617
15498,20170618
16536,20170619
16979,20170620
16447,20170621
15603,20170622
15229,20170623
13591,20170624
14615,20170625
16554,20170626
16827,20170627
16406,20170628
16644,20170629
17284,20170630
17277,20170701
13943,20170702
15237,20170703
13833,20170704
13298,20170705
13207,20170706
12424,20170707
10796,20170708
10768,20170709
11228,20170710
11378,20170711
10932,20170712
11280,20170713
11370,20170714
9927,20170715
9622,20170716
11221,20170717
11322,20170718
11248,20170719
12067,20170720
10873,20170721
9859,20170722
9676,20170723
11619,20170724
11839,20170725
12219,20170726
13101,20170727
11962,20170728
10260,20170729
11925,20170730
13359,20170731
13449,20170801
13371,20170802
13016,20170803
11967,20170804
10235,20170805
10702,20170806
12770,20170807
13290,20170808
13429,20170809
13919,20170810
12813,20170811
10446,20170812
10410,20170813
12708,20170814
13426,20170815
13152,20170816
12706,20170817
12011,20170818
10525,20170819
10622,20170820
12410,20170821
12707,20170822
12885,20170823
12546,20170824
12054,20170825
10176,20170826
11641,20170827
12457,20170828
15279,20170829
14397,20170830
14258,20170831
11865,20170901
11960,20170902
12863,20170903
12627,20170904
12153,20170905
11903,20170906
12423,20170907
12355,20170908
13024,20170909
16475,20170910
13084,20170911
13531,20170912
14119,20170913
13759,20170914
12557,20170915
12685,20170916
16839,20170917
14638,20170918
14666,20170919
15121,20170920
13719,20170921
12747,20170922
13453,20170923
16531,20170924
14906,20170925
14867,20170926
15605,20170927
14587,20170928
13818,20170929
10973,20170930
10399,20171001
9534,20171002
10929,20171003
12046,20171004
14640,20171005
24625,20171006
31606,20171007
41125,20171008
41740,20171009
44150,20171010
49954,20171011
52082,20171012
42147,20171013
31870,20171014
42538,20171015
41363,20171016
42639,20171017
84810,20171018
62716,20171019
46365,20171020
49962,20171021
61794,20171022
54492,20171023
53114,20171024
52049,20171025
43753,20171026
35546,20171027
34269,20171028
45998,20171029
41875,20171030
41962,20171031
42389,20171101
42570,20171102
36178,20171103
32729,20171104
45321,20171105
49382,20171106
52431,20171107
50663,20171108
