Pv,date
4693444,20200305
4333832,20200306
4303504,20200307
4284415,20200308
7150336,20200309
4560057,20200310
4225670,20200311
4301811,20200312
4077880,20200313
4021248,20200314
3861809,20200315
4301684,20200316
3756460,20200317
3865494,20200318
3676663,20200319
3626439,20200320
3831108,20200321
4018060,20200322
3821333,20200323
3732191,20200324
3526774,20200325
3565982,20200326
3824497,20200327
3965595,20200328
3910631,20200329
3773483,20200330
3292755,20200331
3921048,20200401
0,20200402
938,20160101
914,20160102
965,20160103
1285,20160104
1416,20160105
1633,20160106
1426,20160107
1343,20160108
1098,20160109
1302,20160110
1559,20160111
2259,20160112
1445,20160113
1851,20160114
1698,20160115
1298,20160116
1071,20160117
1609,20160118
1583,20160119
1525,20160120
1727,20160121
1453,20160122
1069,20160123
1008,20160124
77317,20160125
23329,20160126
4712,20160127
2920,20160128
2821,20160129
3668,20160130
1610,20160131
1474,20160201
1777,20160202
1933,20160203
1834,20160204
1791,20160205
1549,20160206
915,20160207
943,20160208
1244,20160209
1313,20160210
1305,20160211
1107,20160212
973,20160213
1197,20160214
1485,20160215
1515,20160216
1504,20160217
1240,20160218
1076,20160219
895,20160220
926,20160221
998,20160222
999,20160223
1135,20160224
1839,20160225
1704,20160226
1044,20160227
1362,20160228
1985,20160229
1600,20160301
1468,20160302
1451,20160303
1292,20160304
1571,20160305
1169,20160306
1477,20160307
1558,20160308
2239,20160309
2019,20160310
1756,20160311
1149,20160312
1165,20160313
1893,20160314
2086,20160315
1764,20160316
1926,20160317
1696,20160318
1204,20160319
1033,20160320
1636,20160321
1812,20160322
1720,20160323
1648,20160324
1637,20160325
1058,20160326
984,20160327
1477,20160328
1403,20160329
5125,20160330
3104,20160331
1292,20160401
987,20160402
871,20160403
817,20160404
1425,20160405
1513,20160406
1353,20160407
1358,20160408
944,20160409
925,20160410
1396,20160411
1385,20160412
1390,20160413
1519,20160414
1346,20160415
1038,20160416
1021,20160417
1519,20160418
1550,20160419
1328,20160420
1617,20160421
1359,20160422
927,20160423
923,20160424
1426,20160425
1567,20160426
1437,20160427
1414,20160428
1178,20160429
747,20160430
844,20160501
889,20160502
1412,20160503
1490,20160504
1383,20160505
1181,20160506
866,20160507
880,20160508
1373,20160509
1398,20160510
1492,20160511
1521,20160512
1903,20160513
1317,20160514
1189,20160515
2098,20160516
1948,20160517
1739,20160518
1694,20160519
1804,20160520
1580,20160521
1385,20160522
1824,20160523
1705,20160524
1714,20160525
1380,20160526
1235,20160527
860,20160528
1200,20160529
1417,20160530
1357,20160531
1086,20160601
1592,20160602
1307,20160603
997,20160604
1126,20160605
1369,20160606
1647,20160607
1157,20160608
744,20160609
844,20160610
1146,20160611
1265,20160612
1253,20160613
1317,20160614
1449,20160615
1424,20160616
1441,20160617
985,20160618
1017,20160619
1410,20160620
1398,20160621
1272,20160622
1241,20160623
1224,20160624
905,20160625
953,20160626
1183,20160627
1342,20160628
1331,20160629
1368,20160630
1177,20160701
809,20160702
868,20160703
1267,20160704
1412,20160705
1481,20160706
1318,20160707
1297,20160708
1002,20160709
944,20160710
1126,20160711
1375,20160712
1297,20160713
1133,20160714
1159,20160715
928,20160716
1034,20160717
1283,20160718
1344,20160719
1260,20160720
1348,20160721
1382,20160722
1100,20160723
1030,20160724
1399,20160725
1401,20160726
1557,20160727
1599,20160728
1886,20160729
1028,20160730
1047,20160731
1212,20160801
1408,20160802
1768,20160803
1432,20160804
1324,20160805
1007,20160806
830,20160807
1701,20160808
1137,20160809
1196,20160810
1318,20160811
1183,20160812
1034,20160813
946,20160814
1365,20160815
1079,20160816
1095,20160817
1015,20160818
1049,20160819
1086,20160820
773,20160821
1009,20160822
1278,20160823
1908,20160824
1917,20160825
1861,20160826
1496,20160827
1441,20160828
1923,20160829
1956,20160830
1962,20160831
2396,20160901
2506,20160902
2227,20160903
2313,20160904
3318,20160905
3608,20160906
5045,20160907
4136,20160908
3678,20160909
2406,20160910
2235,20160911
2456,20160912
3447,20160913
4223,20160914
3430,20160915
3871,20160916
4007,20160917
4581,20160918
4692,20160919
4976,20160920
4800,20160921
4632,20160922
3968,20160923
2335,20160924
1857,20160925
2326,20160926
2527,20160927
2430,20160928
2439,20160929
2420,20160930
1721,20161001
1785,20161002
2012,20161003
2157,20161004
2006,20161005
1783,20161006
1836,20161007
2161,20161008
2937,20161009
2659,20161010
2454,20161011
2587,20161012
2482,20161013
2326,20161014
2105,20161015
1688,20161016
2335,20161017
3043,20161018
3198,20161019
2686,20161020
2329,20161021
2105,20161022
2201,20161023
2575,20161024
2458,20161025
2449,20161026
2473,20161027
2329,20161028
1765,20161029
1211,20161030
1880,20161031
2251,20161101
2185,20161102
2085,20161103
2101,20161104
1737,20161105
1820,20161106
2450,20161107
2506,20161108
2265,20161109
2340,20161110
2207,20161111
1892,20161112
2044,20161113
2533,20161114
2524,20161115
2464,20161116
2275,20161117
2206,20161118
1679,20161119
1733,20161120
2177,20161121
2159,20161122
1833,20161123
1811,20161124
1420,20161125
1269,20161126
1165,20161127
1697,20161128
1919,20161129
5121,20161130
3618,20161201
2674,20161202
42991,20161203
25401,20161204
6066,20161205
4437,20161206
3172,20161207
2208,20161208
2127,20161209
5653,20161210
2059,20161211
2155,20161212
2248,20161213
2053,20161214
1877,20161215
2272,20161216
1390,20161217
1149,20161218
1828,20161219
2015,20161220
1786,20161221
1667,20161222
1511,20161223
1135,20161224
1122,20161225
1737,20161226
1745,20161227
2129,20161228
1722,20161229
1713,20161230
1030,20161231
1256,20170101
1231,20170102
1798,20170103
2658,20170104
3601,20170105
2222,20170106
2013,20170107
1705,20170108
2446,20170109
2268,20170110
1874,20170111
1788,20170112
1642,20170113
1108,20170114
1205,20170115
1865,20170116
1585,20170117
1460,20170118
1148,20170119
1461,20170120
801,20170121
1114,20170122
1087,20170123
1210,20170124
1183,20170125
1046,20170126
594,20170127
452,20170128
536,20170129
592,20170130
823,20170131
874,20170201
3671,20170202
3069,20170203
1845,20170204
1431,20170205
2767,20170206
2736,20170207
1902,20170208
2500,20170209
2354,20170210
5749,20170211
3583,20170212
2651,20170213
2561,20170214
3854,20170215
4881,20170216
7175,20170217
5517,20170218
4275,20170219
4613,20170220
4347,20170221
8139,20170222
4555,20170223
4719,20170224
4855,20170225
3560,20170226
3580,20170227
3287,20170228
3316,20170301
3392,20170302
3483,20170303
2836,20170304
2547,20170305
3166,20170306
3107,20170307
2421,20170308
2663,20170309
2991,20170310
1943,20170311
2026,20170312
2505,20170313
2310,20170314
2520,20170315
2447,20170316
2482,20170317
1877,20170318
1544,20170319
2039,20170320
1977,20170321
