Pv,date
24930,20200305
25817,20200306
30753,20200307
22936,20200308
37223,20200309
39056,20200310
62548,20200311
83076,20200312
61153,20200313
42166,20200314
40748,20200315
46915,20200316
50730,20200317
44019,20200318
36703,20200319
36114,20200320
25579,20200321
24992,20200322
80666,20200323
76792,20200324
69348,20200325
63114,20200326
56369,20200327
38240,20200328
36233,20200329
41281,20200330
43712,20200331
40995,20200401
0,20200402
1557,20160101
1603,20160102
2002,20160103
6302,20160104
3740,20160105
3592,20160106
3338,20160107
3424,20160108
2562,20160109
2655,20160110
3920,20160111
4488,20160112
4376,20160113
4642,20160114
4487,20160115
3066,20160116
3157,20160117
5190,20160118
4129,20160119
4147,20160120
4580,20160121
3200,20160122
2477,20160123
2247,20160124
3551,20160125
4294,20160126
4035,20160127
3472,20160128
3126,20160129
2359,20160130
2673,20160131
3893,20160201
2977,20160202
3318,20160203
2923,20160204
2050,20160205
1607,20160206
907,20160207
1070,20160208
1134,20160209
1020,20160210
1125,20160211
1253,20160212
1575,20160213
2915,20160214
5124,20160215
4350,20160216
5546,20160217
3829,20160218
4336,20160219
2489,20160220
2331,20160221
3681,20160222
4007,20160223
5005,20160224
6109,20160225
5496,20160226
3541,20160227
3700,20160228
5420,20160229
5443,20160301
5570,20160302
6030,20160303
4500,20160304
4213,20160305
4055,20160306
6187,20160307
5421,20160308
8292,20160309
7572,20160310
7741,20160311
5080,20160312
4395,20160313
6224,20160314
7078,20160315
10833,20160316
48244,20160317
19051,20160318
6387,20160319
3210,20160320
6296,20160321
6058,20160322
6136,20160323
5349,20160324
4677,20160325
3145,20160326
3139,20160327
5309,20160328
5084,20160329
4734,20160330
5311,20160331
4309,20160401
2484,20160402
2368,20160403
2774,20160404
5412,20160405
5505,20160406
5346,20160407
4859,20160408
3731,20160409
3951,20160410
5361,20160411
6225,20160412
5691,20160413
5044,20160414
4419,20160415
2830,20160416
2803,20160417
4521,20160418
4989,20160419
4500,20160420
4635,20160421
4256,20160422
3014,20160423
2935,20160424
5684,20160425
5219,20160426
4721,20160427
4708,20160428
3713,20160429
2648,20160430
1852,20160501
2520,20160502
5045,20160503
5955,20160504
5088,20160505
4737,20160506
3567,20160507
3278,20160508
5341,20160509
6213,20160510
5364,20160511
5094,20160512
5358,20160513
4351,20160514
5310,20160515
6887,20160516
6858,20160517
6494,20160518
6413,20160519
5968,20160520
4284,20160521
3929,20160522
6577,20160523
6650,20160524
7053,20160525
6752,20160526
6272,20160527
4532,20160528
4034,20160529
6859,20160530
6773,20160531
6185,20160601
7895,20160602
6305,20160603
4659,20160604
4998,20160605
7708,20160606
7439,20160607
5428,20160608
2939,20160609
3980,20160610
4592,20160611
8689,20160612
8178,20160613
7699,20160614
6971,20160615
6568,20160616
6462,20160617
4368,20160618
4893,20160619
8700,20160620
8641,20160621
7467,20160622
8224,20160623
6668,20160624
4706,20160625
5020,20160626
8152,20160627
8919,20160628
8355,20160629
8998,20160630
6557,20160701
3438,20160702
3674,20160703
6019,20160704
5870,20160705
6478,20160706
6209,20160707
5770,20160708
3707,20160709
3542,20160710
5308,20160711
6654,20160712
6045,20160713
6110,20160714
5470,20160715
3912,20160716
3756,20160717
6745,20160718
7064,20160719
6994,20160720
7557,20160721
28284,20160722
7733,20160723
5026,20160724
9609,20160725
8934,20160726
8130,20160727
8537,20160728
8983,20160729
5349,20160730
4874,20160731
7255,20160801
9081,20160802
7942,20160803
5625,20160804
5332,20160805
3571,20160806
4055,20160807
6995,20160808
7201,20160809
6875,20160810
7002,20160811
6487,20160812
4560,20160813
4385,20160814
7345,20160815
7420,20160816
7182,20160817
7406,20160818
5961,20160819
3681,20160820
3602,20160821
6887,20160822
7094,20160823
6851,20160824
7290,20160825
5648,20160826
3531,20160827
3439,20160828
6516,20160829
6614,20160830
7897,20160831
8347,20160901
6695,20160902
3756,20160903
3773,20160904
6223,20160905
6749,20160906
6566,20160907
7044,20160908
5529,20160909
3143,20160910
3275,20160911
6325,20160912
7256,20160913
5281,20160914
2290,20160915
2887,20160916
3764,20160917
6328,20160918
6803,20160919
6885,20160920
7318,20160921
6956,20160922
8560,20160923
5999,20160924
5206,20160925
8348,20160926
7389,20160927
6638,20160928
6760,20160929
4292,20160930
2244,20161001
2046,20161002
2261,20161003
2418,20161004
2602,20161005
2741,20161006
3509,20161007
6242,20161008
6081,20161009
6350,20161010
6821,20161011
6679,20161012
6969,20161013
7050,20161014
4468,20161015
5888,20161016
10162,20161017
11497,20161018
10058,20161019
9598,20161020
7965,20161021
5886,20161022
6207,20161023
9073,20161024
8841,20161025
8820,20161026
8769,20161027
7620,20161028
6293,20161029
4816,20161030
7474,20161031
7263,20161101
8362,20161102
8283,20161103
6639,20161104
4231,20161105
5150,20161106
7784,20161107
8056,20161108
9100,20161109
8754,20161110
6890,20161111
4965,20161112
5150,20161113
8396,20161114
8236,20161115
8636,20161116
8348,20161117
8443,20161118
6002,20161119
6085,20161120
8980,20161121
9192,20161122
8858,20161123
9457,20161124
7834,20161125
5461,20161126
6191,20161127
9978,20161128
10160,20161129
9432,20161130
9161,20161201
7777,20161202
6241,20161203
6796,20161204
10853,20161205
9673,20161206
11682,20161207
11030,20161208
9142,20161209
7491,20161210
9172,20161211
11229,20161212
11935,20161213
11875,20161214
11281,20161215
8719,20161216
5877,20161217
6789,20161218
10701,20161219
12917,20161220
11142,20161221
10687,20161222
8464,20161223
5702,20161224
7173,20161225
10344,20161226
10356,20161227
8942,20161228
8504,20161229
6420,20161230
3791,20161231
3742,20170101
5301,20170102
7986,20170103
9076,20170104
8747,20170105
7179,20170106
6083,20170107
5597,20170108
7228,20170109
7112,20170110
6257,20170111
6342,20170112
5733,20170113
3854,20170114
3810,20170115
6125,20170116
6927,20170117
5509,20170118
5787,20170119
4214,20170120
2752,20170121
3466,20170122
