Pv,date
1842964,20200305
1815602,20200306
1553649,20200307
1478414,20200308
1549858,20200309
1441573,20200310
1514637,20200311
1651040,20200312
1593826,20200313
1534544,20200314
1589386,20200315
1556721,20200316
1346672,20200317
1534827,20200318
1470857,20200319
1416849,20200320
1330023,20200321
1338800,20200322
1257799,20200323
1493701,20200324
1299487,20200325
1205539,20200326
1278588,20200327
1371719,20200328
1353685,20200329
1195903,20200330
1186622,20200331
1714192,20200401
0,20200402
22251,20160101
23842,20160102
25262,20160103
29561,20160104
28673,20160105
29755,20160106
29121,20160107
27850,20160108
27606,20160109
27772,20160110
37309,20160111
29559,20160112
29214,20160113
27978,20160114
26412,20160115
27823,20160116
26423,20160117
27791,20160118
26142,20160119
25966,20160120
25528,20160121
24336,20160122
23668,20160123
19667,20160124
25424,20160125
58482,20160126
50390,20160127
25642,20160128
23701,20160129
24674,20160130
23373,20160131
23551,20160201
23684,20160202
24294,20160203
23314,20160204
22460,20160205
20970,20160206
16330,20160207
18166,20160208
19186,20160209
20408,20160210
21262,20160211
21710,20160212
21725,20160213
23572,20160214
23870,20160215
25532,20160216
25759,20160217
26568,20160218
27011,20160219
24809,20160220
24586,20160221
25011,20160222
25831,20160223
26809,20160224
26005,20160225
24047,20160226
23231,20160227
23528,20160228
25829,20160229
26604,20160301
26601,20160302
25707,20160303
21817,20160304
25984,20160305
25604,20160306
27114,20160307
25361,20160308
26863,20160309
25436,20160310
24856,20160311
24888,20160312
25892,20160313
27376,20160314
29639,20160315
28707,20160316
29231,20160317
27649,20160318
26043,20160319
27013,20160320
35330,20160321
32531,20160322
30867,20160323
29304,20160324
28068,20160325
30833,20160326
30078,20160327
33070,20160328
34798,20160329
31590,20160330
28900,20160331
26490,20160401
25057,20160402
24983,20160403
26576,20160404
32417,20160405
30976,20160406
29409,20160407
27214,20160408
26510,20160409
25849,20160410
27905,20160411
27599,20160412
26999,20160413
27287,20160414
26911,20160415
26054,20160416
25833,20160417
26955,20160418
27102,20160419
28195,20160420
26214,20160421
26283,20160422
24768,20160423
25655,20160424
26356,20160425
27472,20160426
27868,20160427
26819,20160428
25118,20160429
23662,20160430
22680,20160501
24553,20160502
27003,20160503
26765,20160504
26846,20160505
25432,20160506
25134,20160507
24444,20160508
28167,20160509
28035,20160510
27235,20160511
29288,20160512
28542,20160513
28148,20160514
26173,20160515
27916,20160516
28342,20160517
26885,20160518
28266,20160519
26231,20160520
25455,20160521
26265,20160522
28167,20160523
28224,20160524
28141,20160525
26567,20160526
25655,20160527
25222,20160528
24601,20160529
26340,20160530
26383,20160531
24993,20160601
25409,20160602
25598,20160603
24222,20160604
23093,20160605
25534,20160606
24425,20160607
22834,20160608
20651,20160609
22114,20160610
22851,20160611
24251,20160612
25309,20160613
24219,20160614
25959,20160615
25692,20160616
25082,20160617
22890,20160618
22585,20160619
24824,20160620
23814,20160621
24517,20160622
23673,20160623
23346,20160624
22680,20160625
22487,20160626
24346,20160627
24743,20160628
23803,20160629
23159,20160630
23973,20160701
23226,20160702
22865,20160703
23735,20160704
23186,20160705
23372,20160706
22810,20160707
22242,20160708
21355,20160709
21158,20160710
27051,20160711
26601,20160712
26380,20160713
24199,20160714
23174,20160715
21775,20160716
21490,20160717
22630,20160718
22638,20160719
22730,20160720
22652,20160721
22177,20160722
21072,20160723
21136,20160724
22481,20160725
22518,20160726
22676,20160727
22797,20160728
22957,20160729
26216,20160730
22065,20160731
22374,20160801
23277,20160802
23212,20160803
24325,20160804
23499,20160805
22280,20160806
21733,20160807
23890,20160808
22402,20160809
23567,20160810
23794,20160811
22805,20160812
22892,20160813
21475,20160814
23426,20160815
23587,20160816
23387,20160817
21998,20160818
20135,20160819
19339,20160820
19766,20160821
21673,20160822
21933,20160823
21606,20160824
22631,20160825
20215,20160826
19714,20160827
18960,20160828
21644,20160829
21274,20160830
21977,20160831
21466,20160901
20953,20160902
21042,20160903
20942,20160904
22730,20160905
22248,20160906
22858,20160907
23855,20160908
22452,20160909
22335,20160910
21853,20160911
24857,20160912
29030,20160913
22518,20160914
