date,湖北,广东,河南,浙江,湖南,安徽,江西,山东,江苏,重庆,北京,四川,香港,黑龙江,上海,福建,河北,台湾,广西,陕西,云南,海南,天津,贵州,甘肃,山西,辽宁,吉林,内蒙古,新疆,宁夏,澳门,青海,西藏
2020-01-20,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-22,69,0.0,4.0,0.0,4.0,1.0,0.0,2.0,1.0,4.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,105,53.0,0.0,0.0,5.0,14.0,7.0,7.0,4.0,18.0,12.0,10.0,1.0,3.0,4.0,5.0,0.0,0.0,8.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0
2020-01-24,180,25.0,0.0,62.0,15.0,24.0,11.0,12.0,9.0,30.0,10.0,13.0,3.0,6.0,13.0,5.0,8.0,2.0,10.0,2.0,3.0,5.0,8.0,1.0,0.0,6.0,8.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0
2020-01-25,323,20.0,78.0,42.0,45.0,21.0,18.0,18.0,17.0,18.0,15.0,16.0,0.0,6.0,7.0,8.0,5.0,0.0,10.0,10.0,6.0,10.0,2.0,1.0,0.0,3.0,5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0
2020-01-26,371,48.0,45.0,24.0,31.0,10.0,12.0,22.0,16.0,35.0,16.0,25.0,3.0,6.0,13.0,17.0,5.0,1.0,13.0,7.0,10.0,7.0,5.0,2.0,14.0,4.0,5.0,2.0,4.0,1.0,3.0,3.0,4.0,0.0
2020-01-27,1291,42.0,40.0,45.0,43.0,36.0,24.0,26.0,23.0,22.0,13.0,21.0,0.0,9.0,13.0,24.0,15.0,1.0,5.0,13.0,11.0,11.0,8.0,2.0,5.0,7.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,0.0
2020-01-28,840,53.0,38.0,123.0,78.0,46.0,37.0,34.0,29.0,15.0,16.0,18.0,0.0,7.0,14.0,23.0,15.0,3.0,7.0,11.0,19.0,5.0,2.0,0.0,5.0,7.0,9.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
2020-01-29,1032,70.0,72.0,132.0,56.0,48.0,53.0,24.0,30.0,18.0,16.0,34.0,2.0,6.0,21.0,19.0,17.0,0.0,20.0,17.0,19.0,3.0,2.0,3.0,2.0,8.0,3.0,5.0,2.0,1.0,5.0,0.0,0.0,1.0
2020-01-30,1220,82.0,74.0,109.0,55.0,37.0,78.0,33.0,39.0,41.0,20.0,35.0,2.0,16.0,27.0,19.0,17.0,1.0,9.0,24.0,10.0,3.0,5.0,3.0,4.0,4.0,6.0,0.0,2.0,3.0,4.0,0.0,2.0,0.0
2020-01-31,1347,127.0,70.0,62.0,57.0,60.0,46.0,24.0,34.0,32.0,24.0,30.0,1.0,21.0,25.0,24.0,14.0,1.0,13.0,14.0,11.0,8.0,2.0,14.0,5.0,8.0,15.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0
2020-02-01,1921,84.0,71.0,62.0,74.0,43.0,47.0,23.0,34.0,24.0,27.0,24.0,1.0,15.0,24.0,15.0,8.0,0.0,11.0,15.0,8.0,6.0,11.0,9.0,5.0,9.0,4.0,6.0,3.0,3.0,2.0,0.0,1.0,0.0
2020-02-02,2103,79.0,73.0,63.0,58.0,68.0,58.0,21.0,35.0,38.0,29.0,23.0,1.0,23.0,16.0,20.0,9.0,0.0,16.0,12.0,10.0,7.0,4.0,8.0,11.0,10.0,6.0,8.0,7.0,3.0,3.0,1.0,4.0,0.0
2020-02-03,2345,114.0,109.0,105.0,72.0,72.0,85.0,24.0,37.0,37.0,16.0,28.0,0.0,37.0,15.0,15.0,13.0,0.0,12.0,14.0,8.0,9.0,14.0,10.0,5.0,8.0,4.0,11.0,4.0,5.0,3.0,0.0,2.0,0.0
2020-02-04,3156,73.0,89.0,66.0,68.0,50.0,72.0,28.0,33.0,29.0,25.0,19.0,3.0,35.0,25.0,11.0,9.0,1.0,11.0,23.0,5.0,10.0,4.0,8.0,1.0,7.0,7.0,12.0,5.0,3.0,0.0,2.0,2.0,0.0
2020-02-05,2987,74.0,87.0,59.0,50.0,61.0,52.0,45.0,32.0,23.0,21.0,20.0,3.0,37.0,21.0,10.0,22.0,0.0,18.0,8.0,6.0,11.0,2.0,5.0,5.0,9.0,8.0,5.0,4.0,4.0,6.0,0.0,1.0,0.0
2020-02-06,2447,74.0,63.0,52.0,61.0,74.0,61.0,36.0,35.0,22.0,23.0,23.0,3.0,50.0,15.0,9.0,14.0,5.0,4.0,11.0,7.0,11.0,10.0,8.0,5.0,6.0,5.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0
