date,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,name
2020-03-03,,1,0.0,0,0,,,1,0,0,0,0,突尼斯
2020-03-08,,1,0.0,0,0,0.0,,2,0,0,0,0,突尼斯
2020-03-09,,3,0.0,0,0,0.0,,5,0,0,0,0,突尼斯
2020-03-11,,2,0.0,0,0,0.0,,7,0,0,0,0,突尼斯
2020-03-12,,6,0.0,0,0,0.0,,13,0,0,0,0,突尼斯
2020-03-13,,3,0.0,0,0,0.0,,16,0,0,0,0,突尼斯
2020-03-14,,2,0.0,0,0,0.0,,18,0,0,0,0,突尼斯
2020-03-15,,2,0.0,0,0,0.0,,20,0,0,0,0,突尼斯
2020-03-17,,4,0.0,0,0,0.0,,24,0,0,0,0,突尼斯
2020-03-19,,15,0.0,0,0,0.0,,39,0,0,0,0,突尼斯
2020-03-20,,15,0.0,0,0,0.0,,54,0,0,0,0,突尼斯
2020-03-21,,6,0.0,0,1,0.0,,60,0,0,1,0,突尼斯
2020-03-22,,15,0.0,0,2,0.0,,75,0,0,3,0,突尼斯
2020-03-23,,14,0.0,0,0,0.0,,89,0,0,3,0,突尼斯
2020-03-24,,25,0.0,0,0,0.0,,114,0,0,3,0,突尼斯
2020-03-25,,59,0.0,0,2,0.0,,173,0,0,5,0,突尼斯
2020-03-26,,24,0.0,2,0,0.0,,197,0,2,5,0,突尼斯
2020-03-27,,30,0.0,0,1,0.0,,227,0,2,6,0,突尼斯
2020-03-09,,2,0.0,0,0,0.0,,2,0,0,0,0,塞尔维亚
2020-03-10,,3,0.0,0,0,0.0,,5,0,0,0,0,塞尔维亚
2020-03-11,,7,0.0,0,0,0.0,,12,0,0,0,0,塞尔维亚
2020-03-12,,12,0.0,0,0,0.0,,24,0,0,0,0,塞尔维亚
2020-03-13,,11,0.0,0,0,0.0,,35,0,0,0,0,塞尔维亚
2020-03-14,,11,0.0,0,0,0.0,,46,0,0,0,0,塞尔维亚
2020-03-15,,2,0.0,0,0,0.0,,48,0,0,0,0,塞尔维亚
2020-03-16,,17,0.0,0,0,0.0,,65,0,0,0,0,塞尔维亚
2020-03-17,,18,0.0,0,0,0.0,,83,0,0,0,0,塞尔维亚
2020-03-18,,6,0.0,0,0,0.0,,89,0,0,0,0,塞尔维亚
2020-03-19,,14,0.0,0,0,0.0,,103,0,0,0,0,塞尔维亚
2020-03-20,,15,0.0,0,1,0.0,,118,0,0,1,0,塞尔维亚
2020-03-21,,53,0.0,0,0,0.0,,171,0,0,1,0,塞尔维亚
2020-03-22,,51,0.0,0,1,0.0,,222,0,0,2,0,塞尔维亚
2020-03-23,,27,0.0,0,1,0.0,,249,0,0,3,0,塞尔维亚
2020-03-24,,54,0.0,0,0,0.0,,303,0,0,3,0,塞尔维亚
2020-03-25,,81,0.0,0,1,0.0,,384,0,0,4,0,塞尔维亚
2020-03-26,,73,0.0,0,0,0.0,,457,0,0,4,0,塞尔维亚
2020-02-05,,24433,3971.0,962,493,,,24433,23260,962,493,0,中国
2020-02-06,,6728,3230.0,578,144,,,31161,26359,1540,637,0,中国
2020-02-07,,3437,0.0,512,86,,,34598,27657,2052,723,0,中国
2020-02-08,,2564,3916.0,599,89,,,37162,28942,2651,812,0,中国
2020-02-09,,3062,4008.0,631,97,,,40224,23589,3282,909,0,中国
2020-02-10,,2484,3536.0,716,108,,,42708,21675,3998,1017,0,中国
2020-02-11,,2022,3342.0,744,97,,,44730,16067,4742,1114,0,中国
2020-02-12,,14109,2807.0,904,146,,,58839,13435,5646,1260,0,中国
2020-02-13,,5093,2450.0,1082,121,,,63932,10109,6728,1381,0,中国
2020-02-14,,2643,2277.0,1373,143,,,66575,8969,8101,1524,0,中国
2020-02-15,,2009,1918.0,1324,142,,,68584,8228,9425,1666,0,中国
2020-02-16,,2051,1563.0,1428,106,,,70635,7264,10853,1772,0,中国
2020-02-17,,1893,1432.0,1708,98,,,72528,6242,12561,1870,0,中国
2020-02-18,,1751,1185.0,1826,136,,,74279,5248,14387,2006,0,中国
2020-02-19,,822,1277.0,1783,115,,,75101,4922,16170,2121,0,中国
2020-02-20,,892,1614.0,2109,118,,,75993,5206,18279,2239,0,中国
2020-02-21,,399,1361.0,2394,109,,,76392,5365,20673,2348,0,中国
2020-02-22,,454,882.0,2234,97,,,76846,4148,22907,2445,0,中国
2020-02-23,,416,620.0,1850,150,,,77262,3434,24757,2595,0,中国
2020-02-24,,517,530.0,2596,71,,,77779,2824,27353,2666,0,中国
2020-02-25,,411,439.0,2422,52,,,78190,2491,29775,2718,0,中国
2020-02-26,,440,508.0,2756,29,,,78630,2358,32531,2747,0,中国
2020-02-27,,329,452.0,3626,44,,,78959,2308,36157,2791,0,中国
2020-02-28,,430,248.0,2892,47,,,79389,1418,39049,2838,0,中国
2020-02-29,,579,132.0,2626,35,-299.0,,79968,851,41675,2873,7365,中国
2020-03-01,,206,141.0,2843,42,-255.0,,80174,715,44518,2915,7110,中国
2020-03-02,,128,129.0,2742,31,-304.0,,80302,587,47260,2946,6806,中国
2020-03-03,,120,143.0,2654,38,-390.0,,80422,520,49914,2984,6416,中国
2020-03-04,,143,143.0,2195,31,-464.0,,80565,522,52109,3015,5952,中国
2020-03-05,,145,102.0,1684,30,-215.0,,80710,482,53793,3045,5737,中国
2020-03-06,,103,99.0,1684,28,-248.0,,80813,502,55477,3073,5489,中国
2020-03-07,,46,84.0,1666,27,-225.0,,80859,458,57143,3100,5264,中国
2020-03-08,,45,60.0,1541,23,-153.0,,80904,421,58684,3123,5111,中国
2020-03-09,,20,36.0,1298,17,-317.0,,80924,349,59982,3140,4794,中国
2020-03-10,,31,31.0,1585,22,-302.0,,80955,285,61567,3162,4492,中国
2020-03-11,,37,33.0,1320,11,-235.0,,80992,253,62887,3173,4257,中国
2020-03-12,,11,33.0,1329,7,-237.0,,81003,147,64216,3180,4020,中国
2020-03-13,,18,17.0,1433,14,-410.0,,81021,115,65649,3194,3610,中国
2020-03-14,,27,39.0,1373,10,-384.0,,81048,113,67022,3204,3226,中国
2020-03-15,,30,41.0,841,14,-194.0,,81078,134,67863,3218,3032,中国
2020-03-16,,38,45.0,936,13,-202.0,,81116,128,68799,3231,2830,中国
2020-03-17,,35,21.0,926,11,-208.0,,81151,119,69725,3242,2622,中国
2020-03-18,,84,23.0,822,8,-308.0,,81235,105,70547,3250,2314,中国
2020-03-19,,65,31.0,737,3,-178.0,,81300,104,71284,3253,2136,中国
2020-03-20,,116,36.0,592,8,-173.0,,81416,106,71876,3261,1963,中国
2020-03-21,,82,45.0,506,6,-118.0,,81498,118,72382,3267,1845,中国
2020-03-22,,102,47.0,459,9,-96.0,,81600,136,72841,3276,1749,中国
2020-03-23,,147,35.0,458,7,-176.0,,81747,132,73299,3283,1573,中国
2020-03-24,,99,33.0,492,4,-174.0,,81846,134,73791,3287,1399,中国
2020-03-25,,114,58.0,405,6,-164.0,,81960,159,74196,3293,1235,中国
2020-03-26,,118,49.0,541,5,-201.0,,82078,189,74737,3298,1034,中国
2020-03-27,,86,49.0,8,0,-201.0,,82164,189,74745,3298,1034,中国
2020-01-28,,4,0.0,0,0,,,4,0,0,0,0,日本
2020-01-30,,2,0.0,0,0,,,6,0,0,0,0,日本
2020-01-31,,9,0.0,0,0,,,15,0,0,0,0,日本
2020-02-01,,5,0.0,0,0,,,20,0,0,0,0,日本
2020-02-05,,10,0.0,0,0,,,30,0,0,0,0,日本
2020-02-06,,15,0.0,0,0,,,45,0,0,0,0,日本
2020-02-07,,41,0.0,0,0,,,86,0,0,0,0,日本
2020-02-08,,60,0.0,1,0,,,146,0,1,0,0,日本
2020-02-09,,0,0.0,0,0,,,146,0,1,0,0,日本
2020-02-10,,0,0.0,0,0,,,146,0,1,0,0,日本
2020-02-11,,2,0.0,0,0,,,148,0,1,0,0,日本
2020-02-12,,55,0.0,0,0,,,203,0,1,0,0,日本
2020-02-13,,48,0.0,0,1,,,251,0,1,1,0,日本
2020-02-14,,8,0.0,13,0,,,259,0,14,1,0,日本
2020-02-15,,81,0.0,0,0,,,340,0,14,1,0,日本
2020-02-16,,73,0.0,0,0,,,413,0,14,1,0,日本
2020-02-17,,87,0.0,1,0,,,500,0,15,1,0,日本
2020-02-18,,116,0.0,0,0,,,616,0,15,1,0,日本
2020-02-19,,89,0.0,1,0,,,705,0,16,1,0,日本
2020-02-20,,23,0.0,0,2,,,728,0,16,3,0,日本
2020-02-21,,11,0.0,7,0,,,739,0,23,3,0,日本
2020-02-22,,24,0.0,0,0,,,763,0,23,3,0,日本
2020-02-23,,75,0.0,0,1,,,838,0,23,4,0,日本
2020-02-24,,12,0.0,0,0,,,850,0,23,4,0,日本
2020-02-25,,12,0.0,0,0,,,862,0,23,4,0,日本
2020-02-26,,29,0.0,0,3,,,891,0,23,7,0,日本
2020-02-27,,28,0.0,0,1,,,919,0,23,8,0,日本
2020-02-28,,14,0.0,0,3,,,933,0,23,11,0,日本
2020-02-29,,14,,18,0,,,947,0,41,11,0,日本
2020-03-01,,14,,0,1,,,961,0,41,12,0,日本
2020-03-02,,19,,0,0,,,980,0,41,12,0,日本
2020-03-03,,19,0.0,5,0,,,999,0,46,12,0,日本
2020-03-04,,37,,183,0,,,1036,0,229,12,0,日本
2020-03-05,,20,,19,0,,,1056,0,248,12,0,日本
2020-03-06,,56,,0,0,,,1112,0,248,12,0,日本
2020-03-07,,45,,63,1,,,1157,0,311,13,0,日本
2020-03-08,,33,0.0,0,1,0.0,,1190,0,311,14,0,日本
2020-03-09,,28,0.0,35,2,0.0,,1218,0,346,16,0,日本
2020-03-10,,59,0.0,81,3,0.0,,1277,0,427,19,0,日本
2020-03-11,,57,0.0,48,2,0.0,,1334,0,475,21,0,日本
2020-03-12,,53,,0,5,,,1387,0,475,26,0,日本
2020-03-13,,21,,36,0,,,1408,0,511,26,0,日本
2020-03-14,,76,0.0,14,3,0.0,,1484,0,525,29,0,日本
2020-03-15,,46,,0,2,,,1530,0,525,31,0,日本
2020-03-16,,17,,154,4,,,1547,0,679,35,0,日本
2020-03-17,,47,,0,1,,,1594,0,679,36,0,日本
2020-03-18,,37,,20,2,,,1631,0,699,38,0,日本
2020-03-19,,43,,0,2,,,1674,0,699,40,0,日本
2020-03-20,,53,,67,3,,,1727,0,766,43,0,日本
2020-03-21,,40,,0,2,,,1767,0,766,45,0,日本
2020-03-22,,48,,0,4,,,1815,0,766,49,0,日本
2020-03-23,,40,0.0,106,3,0.0,,1855,0,872,52,0,日本
2020-03-24,,10,,0,0,,,1865,0,872,52,0,日本
2020-03-25,,161,,35,3,,,2026,0,907,55,0,日本
2020-03-26,,91,,53,2,,,2117,0,960,57,0,日本
2020-03-27,,102,,15,4,,,2219,0,975,61,0,日本
2020-02-08,,32,0.0,0,0,,,32,0,0,0,0,泰国
2020-02-10,,5,0.0,22,0,,,37,0,22,0,0,泰国
2020-02-15,,0,0.0,0,0,,,34,0,0,0,0,泰国
2020-02-17,,1,0.0,0,0,,,35,0,0,0,0,泰国
2020-02-24,,2,0.0,22,0,,,37,0,22,0,0,泰国
2020-02-26,,3,0.0,0,0,,,40,0,22,0,0,泰国
2020-02-28,,1,0.0,6,0,,,41,0,28,0,0,泰国
2020-02-29,,1,0.0,0,0,,,42,0,28,0,0,泰国
2020-03-01,,0,0.0,0,1,,,42,0,28,1,0,泰国
2020-03-02,,1,0.0,3,0,,,43,0,31,1,0,泰国
2020-03-05,,4,0.0,0,0,0.0,,47,0,31,1,0,泰国
2020-03-06,,1,0.0,0,0,0.0,,48,0,31,1,0,泰国
2020-03-07,,2,0.0,0,0,0.0,,50,0,31,1,0,泰国
2020-03-10,,3,0.0,0,0,0.0,,53,0,31,1,0,泰国
2020-03-11,,6,0.0,3,0,0.0,,59,0,34,1,0,泰国
2020-03-12,,11,0.0,1,0,0.0,,70,0,35,1,0,泰国
2020-03-14,,12,0.0,0,0,0.0,,82,0,35,1,0,泰国
2020-03-15,,32,0.0,0,0,0.0,,114,0,35,1,0,泰国
2020-03-16,,33,0.0,2,0,0.0,,147,0,37,1,0,泰国
2020-03-17,,30,0.0,4,0,0.0,,177,0,41,1,0,泰国
2020-03-18,,35,0.0,1,0,0.0,,212,0,42,1,0,泰国
2020-03-19,,60,0.0,0,0,0.0,,272,0,42,1,0,泰国
2020-03-20,,50,0.0,1,0,0.0,,322,0,43,1,0,泰国
2020-03-21,,89,0.0,1,0,0.0,,411,0,44,1,0,泰国
2020-03-22,,188,0.0,1,0,0.0,,599,0,45,1,0,泰国
2020-03-23,,122,0.0,7,0,0.0,,721,0,52,1,0,泰国
2020-03-24,,106,0.0,5,3,0.0,,827,0,57,4,0,泰国
2020-03-25,,107,0.0,13,0,0.0,,934,0,70,4,0,泰国
2020-03-27,,202,0.0,27,1,0.0,,1136,0,97,5,0,泰国
2020-02-08,,40,0.0,0,0,,,40,0,0,0,0,新加坡
2020-02-09,,3,0.0,0,0,,,43,0,0,0,0,新加坡
2020-02-10,,2,0.0,0,0,,,45,0,0,0,0,新加坡
2020-02-11,,2,0.0,9,0,,,47,0,9,0,0,新加坡
2020-02-12,,3,0.0,6,0,,,50,0,15,0,0,新加坡
2020-02-13,,8,0.0,0,0,,,58,0,15,0,0,新加坡
2020-02-14,,9,0.0,0,0,,,67,0,15,0,0,新加坡
2020-02-15,,8,0.0,3,0,,,75,0,18,0,0,新加坡
2020-02-17,,2,0.0,6,0,,,77,0,24,0,0,新加坡
2020-02-18,,4,0.0,0,0,,,81,0,24,0,0,新加坡
2020-02-19,,3,0.0,0,0,,,84,0,24,0,0,新加坡
2020-02-20,,1,0.0,0,0,,,85,0,24,0,0,新加坡
2020-02-21,,1,0.0,23,0,,,86,0,47,0,0,新加坡
2020-02-22,,3,0.0,0,0,,,89,0,47,0,0,新加坡
2020-02-23,,1,0.0,6,0,,,90,0,53,0,0,新加坡
2020-02-26,,3,0.0,9,0,,,93,0,62,0,0,新加坡
2020-02-27,,3,0.0,4,0,,,96,0,66,0,0,新加坡
2020-02-28,,2,0.0,3,0,,,98,0,69,0,0,新加坡
2020-02-29,,4,0.0,3,0,,,102,0,72,0,0,新加坡
2020-03-01,,4,0.0,0,0,,,106,0,72,0,0,新加坡
2020-03-02,,2,0.0,6,0,,,108,0,78,0,0,新加坡
2020-03-03,,2,0.0,0,0,0.0,,110,0,78,0,0,新加坡
2020-03-04,,2,0.0,0,0,0.0,,112,0,78,0,0,新加坡
2020-03-05,,5,0.0,3,0,0.0,,117,0,81,0,0,新加坡
2020-03-06,,13,0.0,0,0,0.0,,130,0,81,0,0,新加坡
2020-03-07,,8,0.0,0,0,0.0,,138,0,81,0,0,新加坡
2020-03-08,,12,0.0,9,0,0.0,,150,0,90,0,0,新加坡
2020-03-09,,10,0.0,3,0,0.0,,160,0,93,0,0,新加坡
2020-03-10,,6,0.0,0,0,0.0,,166,0,93,0,0,新加坡
2020-03-11,,12,0.0,3,0,0.0,,178,0,96,0,0,新加坡
2020-03-12,,9,0.0,0,0,0.0,,187,0,96,0,0,新加坡
2020-03-13,,13,0.0,1,0,0.0,,200,0,97,0,0,新加坡
2020-03-14,,12,0.0,8,0,0.0,,212,0,105,0,0,新加坡
2020-03-15,,14,0.0,0,0,0.0,,226,0,105,0,0,新加坡
2020-03-16,,17,0.0,0,0,0.0,,243,0,105,0,0,新加坡
2020-03-17,,23,0.0,9,0,0.0,,266,0,114,0,0,新加坡
2020-03-18,,47,0.0,0,0,0.0,,313,0,114,0,0,新加坡
2020-03-19,,32,0.0,0,0,0.0,,345,0,114,0,0,新加坡
2020-03-20,,40,0.0,0,0,0.0,,385,0,114,0,0,新加坡
2020-03-21,,47,0.0,26,2,0.0,,432,0,140,2,0,新加坡
2020-03-22,,23,0.0,0,0,0.0,,455,0,140,2,0,新加坡
2020-03-23,,54,0.0,0,0,0.0,,509,0,140,2,0,新加坡
2020-03-24,,49,0.0,0,0,0.0,,558,0,140,2,0,新加坡
2020-03-25,,73,0.0,0,0,0.0,,631,0,140,2,0,新加坡
2020-03-26,,52,0.0,32,0,0.0,,683,0,172,2,0,新加坡
2020-03-27,,49,0.0,0,0,0.0,,732,0,172,2,0,新加坡
2020-01-20,,1,0.0,0,0,,,1,0,0,0,0,韩国
2020-01-21,,0,0.0,0,0,,,1,0,0,0,0,韩国
2020-01-22,,0,0.0,0,0,,,1,0,0,0,0,韩国
2020-01-23,,0,0.0,0,0,,,1,0,0,0,0,韩国
2020-01-24,,1,0.0,0,0,,,2,0,0,0,0,韩国
2020-01-25,,0,0.0,0,0,,,2,0,0,0,0,韩国
2020-01-26,,1,0.0,0,0,,,3,0,0,0,0,韩国
2020-01-27,,1,0.0,0,0,,,4,0,0,0,0,韩国
2020-01-28,,0,0.0,0,0,,,4,0,0,0,0,韩国
2020-01-29,,0,0.0,0,0,,,4,0,0,0,0,韩国
2020-01-30,,2,0.0,0,0,,,6,0,0,0,0,韩国
2020-01-31,,5,0.0,0,0,,,11,0,0,0,0,韩国
2020-02-01,,1,0.0,0,0,,,12,0,0,0,0,韩国
2020-02-02,,3,0.0,0,0,,,15,0,0,0,0,韩国
2020-02-03,,0,0.0,0,0,,,15,0,0,0,0,韩国
2020-02-04,,1,0.0,0,0,,,16,0,0,0,0,韩国
2020-02-05,,3,0.0,1,0,,,19,0,1,0,0,韩国
2020-02-06,,4,0.0,1,0,,,23,0,2,0,0,韩国
2020-02-07,,1,0.0,0,0,,,24,0,2,0,0,韩国
2020-02-08,,0,0.0,0,0,,,24,0,2,0,0,韩国
2020-02-09,,3,0.0,1,0,,,27,0,3,0,0,韩国
2020-02-10,,0,0.0,1,0,,,27,0,4,0,0,韩国
2020-02-11,,1,0.0,0,0,,,28,0,4,0,0,韩国
2020-02-12,,0,0.0,3,0,,,28,0,7,0,0,韩国
2020-02-13,,0,0.0,0,0,,,28,0,7,0,0,韩国
2020-02-14,,0,0.0,0,0,,,28,0,7,0,0,韩国
2020-02-15,,0,0.0,2,0,,,28,0,9,0,0,韩国
2020-02-16,,1,0.0,0,0,,,29,0,9,0,0,韩国
2020-02-17,,1,0.0,0,0,,,30,0,9,0,0,韩国
2020-02-18,,1,0.0,3,0,,,31,0,12,0,0,韩国
2020-02-19,,20,0.0,4,0,,,51,0,16,0,0,韩国
2020-02-20,,53,0.0,0,1,,,104,0,16,1,0,韩国
2020-02-21,,100,0.0,1,1,,,204,0,17,2,0,韩国
2020-02-22,,229,0.0,0,0,,,433,0,17,2,0,韩国
2020-02-23,,169,0.0,1,4,,,602,0,18,6,0,韩国
2020-02-24,,231,0.0,4,2,,,833,0,22,8,0,韩国
