date,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,name
2020-01-31,,2,0.0,0,0,,,2,0,0,0,0,意大利
2020-02-01,,0,0.0,0,0,,,2,0,0,0,0,意大利
2020-02-02,,0,0.0,0,0,,,2,0,0,0,0,意大利
2020-02-03,,0,0.0,0,0,,,2,0,0,0,0,意大利
2020-02-04,,0,0.0,0,0,,,2,0,0,0,0,意大利
2020-02-05,,0,0.0,0,0,,,2,0,0,0,0,意大利
2020-02-06,,1,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-07,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-08,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-09,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-10,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-11,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-12,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-13,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-14,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-15,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-16,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-17,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-18,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-19,,0,0.0,0,0,,,3,0,0,0,0,意大利
2020-02-20,,1,0.0,0,0,,,4,0,0,0,0,意大利
2020-02-21,,17,0.0,0,1,,,21,0,0,1,0,意大利
2020-02-22,,58,0.0,0,1,,,79,0,0,2,0,意大利
2020-02-23,,53,0.0,0,1,,,132,0,0,3,0,意大利
2020-02-24,,87,0.0,0,3,,,219,0,0,6,0,意大利
2020-02-25,,64,0.0,1,1,,,283,0,1,7,0,意大利
2020-02-26,,117,0.0,2,5,,,400,0,3,12,0,意大利
2020-02-27,,250,0.0,42,5,,,650,0,45,17,0,意大利
2020-02-28,,238,0.0,1,4,,,888,0,46,21,0,意大利
2020-02-29,,240,0.0,4,8,,,1128,0,50,29,0,意大利
2020-03-01,,566,0.0,33,5,,,1694,0,83,34,0,意大利
2020-03-02,,390,0.0,66,18,,,2084,0,149,52,0,意大利
2020-03-03,,418,0.0,11,27,0.0,,2502,0,160,79,0,意大利
2020-03-04,,642,,116,28,,,3144,0,276,107,0,意大利
2020-03-05,,783,,138,41,,,3927,0,414,148,0,意大利
2020-03-06,,709,,109,49,,,4636,0,523,197,0,意大利
2020-03-07,,1394,0.0,0,36,0.0,,6030,0,523,233,0,意大利
2020-03-08,,1492,0.0,99,133,0.0,,7522,0,622,366,0,意大利
2020-03-09,,1698,0.0,0,97,0.0,,9220,0,622,463,0,意大利
2020-03-10,,929,0.0,382,168,0.0,,10149,0,1004,631,0,意大利
2020-03-11,,2449,0.0,41,196,0.0,,12598,0,1045,827,0,意大利
2020-03-12,,2787,0.0,213,189,0.0,,15385,0,1258,1016,0,意大利
2020-03-13,,2375,0.0,181,250,0.0,,17760,0,1439,1266,0,意大利
2020-03-14,,3510,0.0,527,175,0.0,,21270,0,1966,1441,0,意大利
2020-03-15,,3668,0.0,369,368,0.0,,24938,0,2335,1809,0,意大利
2020-03-16,,3042,0.0,414,349,0.0,,27980,0,2749,2158,0,意大利
2020-03-17,,3526,,192,345,,,31506,0,2941,2503,0,意大利
2020-03-18,,4207,,1084,475,,,35713,0,4025,2978,0,意大利
2020-03-19,,5322,,415,427,,,41035,0,4440,3405,0,意大利
2020-03-20,,5986,0.0,689,627,0.0,,47021,0,5129,4032,0,意大利
2020-03-21,,6557,0.0,943,793,0.0,,53578,0,6072,4825,0,意大利
2020-03-22,,5560,,952,651,,,59138,0,7024,5476,0,意大利
2020-03-23,,4789,0.0,408,601,0.0,,63927,0,7432,6077,0,意大利
2020-03-24,,5249,,894,743,,,69176,0,8326,6820,0,意大利
2020-03-25,,5210,,1036,683,,,74386,0,9362,7503,0,意大利
2020-03-26,,6153,,999,662,,,80539,0,10361,8165,0,意大利
2020-03-27,,5959,0.0,589,969,0.0,,86498,0,10950,9134,0,意大利
2020-03-28,,5974,0.0,1434,889,0.0,,92472,0,12384,10023,0,意大利
2020-03-29,,5217,,646,756,,,97689,0,13030,10779,0,意大利
2020-03-30,,4050,0.0,1590,812,0.0,,101739,0,14620,11591,0,意大利
2020-03-31,,4053,,1109,837,,,105792,0,15729,12428,0,意大利
2020-04-01,,4782,,1118,727,,,110574,0,16847,13155,0,意大利
2020-04-02,,4668,,1431,760,,,115242,0,18278,13915,0,意大利
2020-04-03,,4585,,1480,766,,,119827,0,19758,14681,0,意大利
2020-04-04,,4805,0.0,1238,681,0.0,,124632,0,20996,15362,0,意大利
2020-04-05,,4316,0.0,819,525,0.0,,128948,0,21815,15887,0,意大利
2020-04-06,,3599,,1022,636,,,132547,0,22837,16523,0,意大利
2020-04-07,,3039,,1555,604,,,135586,0,24392,17127,0,意大利
2020-04-08,,3836,0.0,2099,542,0.0,,139422,0,26491,17669,0,意大利
2020-04-09,,4204,,1979,610,,,143626,0,28470,18279,0,意大利
2020-04-10,,3951,,1985,570,,,147577,0,30455,18849,0,意大利
2020-04-11,,4694,0.0,2079,619,0.0,,152271,0,32534,19468,0,意大利
2020-04-12,,4092,0.0,1677,431,0.0,,156363,0,34211,19899,0,意大利
2020-04-13,,3153,0.0,1224,566,0.0,,159516,0,35435,20465,0,意大利
2020-04-14,,2972,0.0,1695,602,0.0,,162488,0,37130,21067,0,意大利
2020-04-15,,2667,,962,578,,,165155,0,38092,21645,0,意大利
2020-04-16,,3786,,2072,525,,,168941,0,40164,22170,0,意大利
2020-04-17,,3493,,2563,575,,,172434,0,42727,22745,0,意大利
