id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
9577772,突尼斯,2020-03-27 20:47:25,30.0,0.0,0.0,1.0,0.0,,227,0,2,6,0
9507896,塞尔维亚,2020-03-27 00:00:31,,,,,,,457,0,0,4,0
0,中国,2020-03-27 17:00:33,203.0,49.0,547.0,5.0,-201.0,,82163,189,74743,3298,1034
1,日本,2020-03-27 16:03:31,58.0,,0.0,2.0,,,2175,0,960,59,0
2,泰国,2020-03-27 11:48:36,91.0,0.0,27.0,1.0,0.0,,1136,0,97,5,0
3,新加坡,2020-03-27 19:52:46,,,,,,,683,0,140,2,0
4,韩国,2020-03-27 09:23:17,91.0,,384.0,8.0,,,9332,0,4528,139,0
5,澳大利亚,2020-03-27 16:14:40,360.0,0.0,148.0,0.0,0.0,,3166,0,194,13,0
6,德国,2020-03-27 17:56:36,3340.0,0.0,0.0,14.0,0.0,,47278,0,5673,281,0
7,美国,2020-03-27 19:54:19,156.0,0.0,137.0,4.0,0.0,,85996,0,753,1300,0
8,马来西亚,2020-03-27 17:32:23,130.0,0.0,44.0,2.0,0.0,,2161,0,259,26,0
9,越南,2020-03-27 00:00:31,,,,,,,153,0,17,0,0
89566,圣巴泰勒米,2020-03-27 11:18:38,3.0,0.0,0.0,0.0,0.0,,3,0,0,0,0
821,肯尼亚,2020-03-27 02:51:08,3.0,0.0,0.0,1.0,0.0,,31,0,1,1,0
826,伊朗,2020-03-27 17:41:43,2926.0,,676.0,144.0,,,32332,0,11133,2378,0
827,以色列,2020-03-27 16:16:10,342.0,0.0,9.0,2.0,0.0,,3035,0,79,10,0
829,黎巴嫩,2020-03-27 19:02:49,23.0,0.0,3.0,1.0,0.0,,391,0,23,7,0
833,克罗地亚,2020-03-27 20:06:27,70.0,0.0,15.0,2.0,0.0,,551,0,37,3,0
834,奥地利,2020-03-27 16:10:01,511.0,0.0,103.0,0.0,0.0,,6909,0,112,49,0
835,瑞士,2020-03-27 21:08:47,350.0,0.0,0.0,6.0,0.0,,12161,0,131,197,0
839,希腊,2020-03-27 16:50:30,71.0,0.0,23.0,5.0,0.0,,892,0,42,27,0
95800,毛里求斯,2020-03-27 00:04:20,29.0,0.0,0.0,0.0,0.0,,81,0,0,2,0
845,爱沙尼亚,2020-03-27 01:59:46,134.0,0.0,25.0,0.0,0.0,,538,0,34,1,0
846,北马其顿,2020-03-27 20:53:49,24.0,0.0,2.0,0.0,0.0,,201,0,3,3,0
850,白俄罗斯,2020-03-27 00:00:31,,,,,,,86,0,29,0,0
851,立陶宛,2020-03-27 20:30:10,55.0,0.0,0.0,1.0,0.0,,345,0,1,5,0
852,阿塞拜疆,2020-03-27 00:05:46,29.0,0.0,0.0,1.0,0.0,,122,0,10,3,0
875097,美属维尔京群岛,2020-03-27 09:05:35,17.0,0.0,0.0,0.0,0.0,,17,0,0,0,0
95826,蒙古,2020-03-26 12:21:32,,0.0,,,0.0,,11,0,0,0,0
872,乌克兰,2020-03-27 20:55:20,22.0,0.0,3.0,0.0,0.0,,218,0,4,5,0
874,波兰,2020-03-27 16:28:48,23.0,0.0,0.0,0.0,0.0,,1244,0,13,16,0
878,波斯尼亚,2020-03-06 00:00:31,,0.0,,,0.0,,1,0,0,0,0
879,波黑,2020-03-27 00:00:31,,,,,,,185,0,2,3,0
80902,蒙特塞拉特,2020-03-27 11:38:25,1.0,0.0,0.0,0.0,0.0,,1,0,0,0,0
880,南非,2020-03-27 16:49:06,0.0,0.0,11.0,2.0,0.0,,927,0,12,2,0
